日期,南京市,南通市,宿迁市,常州市,徐州市,扬州市,无锡市,泰州市,淮安市,盐城市,苏州市,连云港市,镇江市
2021-03,1.4187772,1.3066298,1.0530677,1.3084341,1.093629,1.3145072,1.5668595,1.2724304,1.1876497,1.2271622,1.5048649,0.88532287,1.3336542
2021-04,1.0284919,1.0890689,0.8061111,1.0291431,0.71726376,0.92822826,1.3270707,0.9136823,0.9224382,1.1425306,1.3185636,0.8823082,0.96048856
2021-05,0.7293514,1.2021548,0.72494936,1.0398295,0.7474829,0.91241497,1.4822624,0.94406545,0.8558563,1.0056124,1.4417422,0.53677684,0.886244
2021-06,1.3846074,1.8772265,1.2405531,1.8172436,1.1805102,1.5665715,2.4479516,1.6130232,1.4538202,1.8001909,2.3569834,1.1136713,1.5649399
2021-07,1.2982807,2.38632,2.1276584,2.0597346,2.0554261,1.9058254,2.6747289,2.059697,2.183514,2.4834187,2.5737324,2.0123227,1.7876083
2021-08,1.4135467,1.4300851,1.1246265,1.4485282,1.0619849,1.3462296,1.8338274,1.3054936,1.2467065,1.2056862,1.7699274,0.863028,1.397394
2021-09,1.0717368,1.1076502,1.0064108,1.042087,0.9583137,1.0061835,1.2071581,1.0510428,1.058724,1.1291617,1.1294495,0.9520853,1.0428543
2021-10,1.8701689,1.6024814,1.3677042,1.6261604,1.0192713,1.6493117,1.9683912,1.5258695,1.6601887,1.4411821,2.0896106,1.439536,1.6981392
2021-11,0.14849834,0.24280682,0.37806132,0.09492168,0.31206724,0.22581661,0.23256052,0.22519197,0.37757713,0.41613585,0.44723278,0.44068563,0.20792703
2021-12,0.6665466,0.9810469,0.2876614,0.7736336,0.07808264,0.6710804,0.9959244,0.7148123,0.4268055,0.8661885,1.2235912,0.63206327,0.7132809
2022-01,1.7804374,1.8315123,1.306339,1.7017965,1.1575801,1.6899117,2.03912,1.6776384,1.5988963,1.6701955,2.0789318,1.2742547,1.6992904
2022-02,1.5278367,1.7210596,0.6901754,1.599179,0.55890244,1.2969446,2.0518599,1.3453993,0.97165465,1.1428323,2.1583407,0.63244927,1.3708909
2022-03,1.4145832,1.2053862,1.0976748,1.408993,0.9914517,1.2809938,1.764183,1.1657922,1.2188085,0.93052787,1.6543263,0.9141029,1.3163314
2022-04,1.0131087,1.258878,1.1766074,1.3038454,1.1906366,1.1313068,1.638991,1.1993389,1.1517056,1.2512723,1.5449377,1.0433295,1.1174492
2022-05,1.3133444,1.504997,1.1760076,1.6731315,1.2281766,1.380816,2.228667,1.4209968,1.1759967,1.3604312,2.1550515,1.0999331,1.4137938
2022-06,1.831072,2.0311937,1.8619641,2.0280893,1.8003216,2.0068161,2.6074226,1.9947505,2.074002,2.1364734,2.46045,1.5620701,1.9623377
2022-07,0.82044774,0.97551596,0.83628416,0.9292908,0.8121086,0.85023916,1.2322384,0.84120905,0.9176695,1.1203823,1.1705679,0.7944396,0.83650476
2022-08,0.34402052,1.031328,0.6681111,0.70994675,0.7261524,0.48305166,1.2575243,0.47918552,0.58162755,0.4819562,1.3098453,0.4479629,0.4168773
2022-09,2.0188174,2.1713953,1.4238616,2.0775487,1.1429425,2.0318372,2.4992318,1.995272,1.7074287,1.9521706,2.600374,1.4491715,2.0532055
2022-10,1.9765112,1.9789369,1.3175799,1.9536036,1.1892211,1.8282167,2.4908142,1.7733822,1.5753857,1.5932949,2.650148,1.1522458,1.8741518
2022-11,1.576764,1.2469492,1.2633144,1.3366085,1.2077829,1.4477586,1.5261776,1.3554667,1.3202784,1.2652705,1.558116,1.08548,1.4619343
2022-12,1.2115375,1.8157231,0.80946046,1.5363396,0.39233333,1.4830798,1.993008,1.5092001,1.2250733,1.7063662,2.284236,1.2014458,1.4896944
2023-01,0.6262,0.8540312,0.35777962,0.6249637,0.2213065,0.68586487,0.84367776,0.71898675,0.5254052,0.76256436,1.0340945,0.554864,0.6649587
2023-02,2.042066,2.0852077,1.4911933,1.9302218,1.4001168,1.8806543,2.3096232,1.8918687,1.7242279,1.8373947,2.3245528,1.3807081,1.9050303
2023-03,1.2931484,1.1849794,1.0863724,1.3207127,0.98081213,1.1987761,1.6045084,1.1886456,1.2152568,1.0408437,1.5007465,0.8555749,1.2143946
2023-04,1.0973747,1.2089193,0.9305204,1.2412027,0.8632116,1.1339093,1.597091,1.0788659,0.9991512,1.0513126,1.4783272,0.77862644,1.1411064
2023-05,0.92562157,1.0607114,1.085272,1.0814693,1.0090555,0.96363217,1.4079716,0.9706482,1.0264388,1.1586168,1.343817,0.88419485,0.96327955
2023-06,0.6839156,1.0991913,0.9046564,1.0041269,0.7413647,0.8624138,1.4465079,0.91433764,1.0789312,1.2394277,1.4112356,0.9558511,0.8572578
2023-07,1.6467628,1.9112893,1.5752137,1.8308308,1.4944757,1.8716141,2.4301872,1.8192049,1.7378814,2.0218575,2.3689353,1.3998134,1.8035282
2023-08,1.3028498,1.1685213,1.2940629,1.2236419,1.1899483,1.2209017,1.5713437,1.1289496,1.3789405,1.1748476,1.6061434,1.1669925,1.2759567
2023-09,1.7875949,1.4946367,1.5147048,1.5552354,1.3819216,1.6090076,1.9348291,1.4970272,1.5833879,1.4984416,1.9310215,1.4317884,1.642226
2023-10,1.1997745,1.04178,0.4634927,1.1162872,0.67638856,0.88351816,1.407649,0.84647644,0.47426933,0.4331698,1.4771466,0.17965859,1.002048
2023-11,0.55465794,0.7757173,0.4954878,0.62963367,0.40181452,0.6912289,0.77434534,0.72732854,0.63191664,0.89317286,0.9474839,0.8266624,0.70048374
2023-12,0.77514774,1.3176953,0.70133066,1.0663317,0.50878406,1.0701578,1.3447272,1.1494232,0.9329438,1.4324261,1.5888504,1.1201665,1.0760567
